Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric,42.0,-29.5,0.0,top
C2,0.1uf,C_0805_2012Metric,42.0,-25.5,0.0,top
C3,10uF,C_0805_2012Metric,42.0,-27.5,0.0,top
D1,LED 20 mA @2V,LED_0805_2012Metric,46.5,-36.868,-90.0,top
D2,LED 20 mA @2V,LED_0805_2012Metric,49.0,-36.868,90.0,top
D3,20V 1A,D_SOD-123,41.5,-32.0,180.0,top
J1,Conn_02x07_Top_Bottom,Adafruit QT PY,25.0,-30.0,0.0,top
J2,Micro_SD_Card,microSD_HC_Molex_104031-0811,7.0,-31.5,0.0,top
J3,Conn_01x02_Female,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,45.0,-5.5,0.0,top
J4,Conn_02x25_Top_Bottom,Hirose_FH12-50S-0.5SH_1x50-1MP_P0.50mm_Horizontal,25.0,-8.34,180.0,top
R1,100K,R_0805_2012Metric,42.9625,-15.0,180.0,top
R2,100K,R_0805_2012Metric,5.0,-21.5,0.0,top
R3,100K,R_0805_2012Metric,42.9625,-19.0,180.0,top
R4,100K,R_0805_2012Metric,42.9625,-17.0,0.0,top
R5,10K,R_0805_2012Metric,42.9625,-21.0,0.0,top
R6,68,R_0805_2012Metric,46.5,-33.058,-90.0,top
R7,68,R_0805_2012Metric,49.0,-33.0,-90.0,top
R8,10,R_0805_2012Metric,5.0,-17.5,0.0,top
R9,10,R_0805_2012Metric,5.0,-19.5,0.0,top
R10,10,R_0805_2012Metric,5.0,-15.5,0.0,top
R11,10,R_0805_2012Metric,5.0,-13.5,0.0,top
R12,10K,R_0805_2012Metric,5.0,-11.5,180.0,top
SW1,SW_SPDT,SW_SPDT_CK-JS102011SAQN,40.17,-37.63,0.0,top
U1,MCP73831-2-OT,SOT-23-5,48.0,-27.0,90.0,top
U2,APX803-44SAG-7,SOT-23,4.4375,-8.5,0.0,top
